FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA
29JAN2021:00:00:00,41 a 50,M,Sputnik,Público,1,152,
29JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,6,
29JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,13,
29JAN2021:00:00:00,51 a 60,F,Sputnik,Público,0,166,
29JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,11,
29JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,0,16,
29JAN2021:00:00:00,51 a 60,M,Sputnik,Público,0,85,
29JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,3,
29JAN2021:00:00:00,61 a 70,F,Sputnik,Privado,0,1,
29JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,3,
29JAN2021:00:00:00,61 a 70,M,Sputnik,Público,0,4,
29JAN2021:00:00:00,61 a 70,M,Sputnik,Público nacional,0,1,
30JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,0,4,
30JAN2021:00:00:00,30 o menos,F,Sputnik,Público,0,25,
30JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,10,
30JAN2021:00:00:00,30 o menos,M,Sputnik,Público,0,18,
30JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,1,
30JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,0,2,
30JAN2021:00:00:00,31 a 40,F,Sputnik,Público,0,90,
30JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,12,
30JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,0,5,
30JAN2021:00:00:00,31 a 40,M,Sputnik,Público,0,51,
30JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,4,
30JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,0,3,
30JAN2021:00:00:00,41 a 50,F,Sputnik,Público,0,67,
30JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,0,9,
30JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,0,1,
30JAN2021:00:00:00,41 a 50,M,Sputnik,Público,0,38,
30JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,6,
30JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,1,
30JAN2021:00:00:00,51 a 60,F,Sputnik,Público,0,36,
30JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,3,
30JAN2021:00:00:00,51 a 60,M,Sputnik,Público,0,28,
30JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,1,
31JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,0,3,
31JAN2021:00:00:00,30 o menos,F,Sputnik,Público,0,30,
31JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,0,3,
31JAN2021:00:00:00,30 o menos,M,Sputnik,Público,0,20,
31JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,0,13,
31JAN2021:00:00:00,31 a 40,F,Sputnik,Público,0,80,
31JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,0,6,
31JAN2021:00:00:00,31 a 40,M,Sputnik,Público,0,36,
31JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,0,4,
31JAN2021:00:00:00,41 a 50,F,Sputnik,Público,0,56,
31JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,0,4,
31JAN2021:00:00:00,41 a 50,M,Sputnik,Público,0,28,
31JAN2021:00:00:00,51 a 60,F,Sputnik,Público,0,39,
31JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,1,1,
31JAN2021:00:00:00,51 a 60,M,Sputnik,Público,0,18,
31JAN2021:00:00:00,61 a 70,M,Sputnik,Público,0,1,
01FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,0,32,
01FEB2021:00:00:00,30 o menos,F,Sputnik,Público,0,127,
01FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,16,
01FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,0,15,
01FEB2021:00:00:00,30 o menos,M,Sputnik,Público,0,67,
01FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,9,
01FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,0,62,
01FEB2021:00:00:00,31 a 40,F,Sputnik,Público,0,247,
01FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,23,
01FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,0,46,
01FEB2021:00:00:00,31 a 40,M,Sputnik,Público,0,164,
01FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,15,
01FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,0,27,
01FEB2021:00:00:00,41 a 50,F,Sputnik,Público,0,215,
01FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,0,12,
01FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,0,28,
01FEB2021:00:00:00,41 a 50,M,Sputnik,Público,0,117,
01FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,5,
01FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,0,13,
01FEB2021:00:00:00,51 a 60,F,Sputnik,Público,0,157,
01FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,8,
01FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,0,11,
01FEB2021:00:00:00,51 a 60,M,Sputnik,Público,0,64,
01FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,5,
01FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,0,1,
01FEB2021:00:00:00,61 a 70,F,Sputnik,Público,0,3,
01FEB2021:00:00:00,61 a 70,F,Sputnik,Público nacional,0,1,
01FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,0,1,
02FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,8,12,
02FEB2021:00:00:00,30 o menos,F,Sputnik,Público,59,148,
02FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,5,12,
02FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,3,10,
02FEB2021:00:00:00,30 o menos,M,Sputnik,Público,21,70,
02FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,1,8,
02FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,18,37,
02FEB2021:00:00:00,31 a 40,F,Sputnik,Público,137,233,
02FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,9,30,
02FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,19,35,
02FEB2021:00:00:00,31 a 40,M,Sputnik,Público,65,145,
02FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,4,20,
02FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,19,29,
02FEB2021:00:00:00,41 a 50,F,Sputnik,Público,150,214,
02FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,15,10,
02FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,5,19,
02FEB2021:00:00:00,41 a 50,M,Sputnik,Público,64,98,
02FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,6,13,
02FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,11,11,
02FEB2021:00:00:00,51 a 60,F,Sputnik,Público,228,184,
02FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,14,14,
02FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,6,5,
02FEB2021:00:00:00,51 a 60,M,Sputnik,Público,110,93,
02FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,6,6,
02FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,2,0,
02FEB2021:00:00:00,61 a 70,F,Sputnik,Público,336,2,
02FEB2021:00:00:00,61 a 70,F,Sputnik,Público nacional,25,0,
02FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,7,0,
02FEB2021:00:00:00,61 a 70,M,Sputnik,Público,276,0,
02FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,22,1,
02FEB2021:00:00:00,71 a 80,F,Sputnik,Público,30,0,
02FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,2,0,
02FEB2021:00:00:00,71 a 80,M,Sputnik,Público,33,0,
02FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,2,0,
02FEB2021:00:00:00,81 a 90,F,Sputnik,Público,2,0,
02FEB2021:00:00:00,81 a 90,M,Sputnik,Público,5,0,
02FEB2021:00:00:00,91 o mas,M,Sputnik,Público,1,0,
03FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,60,22,
03FEB2021:00:00:00,30 o menos,F,Sputnik,Público,93,115,
03FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,13,23,
03FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,31,15,
03FEB2021:00:00:00,30 o menos,M,Sputnik,Público,30,50,
03FEB2021:00:00:00,30 o menos,M,Sputnik,Público nacional,3,9,
03FEB2021:00:00:00,31 a 40,F,Sputnik,Privado,106,61,
03FEB2021:00:00:00,31 a 40,F,Sputnik,Público,217,186,
03FEB2021:00:00:00,31 a 40,F,Sputnik,Público nacional,26,21,
03FEB2021:00:00:00,31 a 40,M,Sputnik,Privado,70,38,
03FEB2021:00:00:00,31 a 40,M,Sputnik,Público,89,103,
03FEB2021:00:00:00,31 a 40,M,Sputnik,Público nacional,13,11,
03FEB2021:00:00:00,41 a 50,F,Sputnik,Privado,75,28,
03FEB2021:00:00:00,41 a 50,F,Sputnik,Público,248,151,
03FEB2021:00:00:00,41 a 50,F,Sputnik,Público nacional,24,20,
03FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,23,19,
03FEB2021:00:00:00,41 a 50,M,Sputnik,Público,100,88,
03FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,13,10,
03FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,34,17,
03FEB2021:00:00:00,51 a 60,F,Sputnik,Público,267,115,
03FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,26,16,
03FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,25,9,
